Competition,Team,Opponent,HT goals for,HT goals against,HT goal difference,HT state,FT goals for,FT goals against,FT goal difference,FT result,1H Possession %,1H Possession difference %,1H Shots,1H Shots on target,1H Shots off target,1H Blocked shots,1H Shots inside box,1H Passes attempted,1H Passes completed,1H Pass accuracy %,1H Corners,1H Free kicks,1H Tackles,1H Tackles won,1H Interceptions,1H Clearances,1H Saves,1H Fouls,1H Yellow cards,1H Red cards,1H Offsides,2H Possession %,2H Possession difference %,2H Shots,2H Shots on target,2H Shots off target,2H Blocked shots,2H Shots inside box,2H Passes attempted,2H Passes completed,2H Pass accuracy %,2H Corners,2H Free kicks,2H Tackles,2H Tackles won,2H Interceptions,2H Clearances,2H Saves,2H Fouls,2H Yellow cards,2H Red cards,2H Offsides
UEFA Europa League,Napoli,Bayern Munich,1,0,1,Winning,2,0,2,Winning,42.04,-15.91,6,2,3,1,3,177,127,71.75,2,8,8,3,9,12,0,11,1,0,1,33.42,-33.16,6,3,2,1,4,128,93,72.66,2,7,8,5,8,14,0,7,1,0,4
UEFA Euro,Wales,Denmark,0,1,-1,Losing,0,4,-4,Losing,39.0,-22.0,7,1,2,4,3,172,134,77.91,1,7,6,5,5,26,0,6,2,0,0,55.86,11.71,4,0,2,2,3,248,209,84.27,0,2,6,4,6,15,0,7,2,1,0
UEFA Euro,Denmark,Wales,1,0,1,Winning,4,0,4,Winning,61.0,22.0,5,3,2,0,3,269,214,79.55,7,5,2,2,6,12,0,7,0,0,1,44.14,-11.71,11,5,3,3,6,196,164,83.67,2,5,5,2,4,14,0,2,0,0,0
Women's World Cup,Spain Women's,China PR Women's,0,0,0,Drawing,0,0,0,Drawing,62.97,25.94,10,2,4,4,6,318,253,79.56,0,7,8,5,3,19,0,8,0,0,0,66.36,32.73,15,7,5,3,8,292,213,72.95,8,8,10,9,4,10,0,6,0,0,0
Women's World Cup,China PR Women's,Spain Women's,0,0,0,Drawing,0,0,0,Drawing,37.03,-25.94,0,0,0,0,0,187,123,65.78,0,8,10,5,7,18,0,6,0,0,1,33.64,-32.73,1,0,0,1,1,148,90,60.81,0,6,12,4,8,31,0,9,1,0,1
UEFA Euro,Belgium,Denmark,0,1,-1,Losing,2,1,1,Winning,52.29,4.58,1,1,0,0,1,297,254,85.52,2,4,8,5,6,11,0,6,0,0,0,55.15,10.31,5,3,1,1,2,305,263,86.23,2,6,5,2,5,8,0,13,1,0,2
UEFA Euro,Denmark,Belgium,1,0,1,Winning,1,2,-1,Losing,47.71,-4.58,9,3,4,2,8,271,227,83.76,0,5,10,7,12,5,0,6,0,0,1,44.85,-10.31,12,2,3,7,7,248,210,84.68,2,10,7,3,13,6,0,9,3,0,1
FIFA World Cup,Netherlands,United States,2,0,2,Winning,3,1,2,Winning,36.92,-26.16,4,2,2,0,3,199,150,75.38,2,3,8,5,3,11,0,3,0,0,0,46.33,-7.34,7,4,2,1,4,240,182,75.83,2,5,15,9,4,24,0,8,2,0,0
FIFA World Cup,United States,Netherlands,0,2,-2,Losing,1,3,-2,Losing,63.08,26.16,3,2,0,1,2,340,285,83.82,1,3,4,2,7,4,0,1,0,0,2,53.67,7.34,15,4,7,4,10,278,214,76.98,4,7,9,5,8,7,0,4,0,0,1
FIFA World Cup,Spain,Costa Rica,3,0,3,Winning,7,0,7,Winning,84.2,68.41,7,3,3,1,6,597,554,92.8,2,7,7,5,4,3,0,4,0,0,2,78.13,56.26,10,5,4,1,7,493,455,92.29,3,10,8,5,3,2,0,4,0,0,1
FIFA World Cup,Costa Rica,Spain,0,3,-3,Losing,0,7,-7,Losing,15.8,-68.41,0,0,0,0,0,112,72,64.29,0,6,8,5,5,10,0,6,0,0,3,21.87,-56.26,0,0,0,0,0,138,100,72.46,0,5,16,11,4,11,0,8,2,0,4
Women's World Cup,Japan Women's,Argentina Women's,0,0,0,Drawing,0,0,0,Drawing,68.85,37.7,2,0,2,0,1,336,288,85.71,2,9,13,5,4,5,0,4,2,0,0,72.22,44.44,6,2,3,1,4,377,318,84.35,3,0,13,6,4,11,0,3,1,0,0
Women's World Cup,Argentina Women's,Japan Women's,0,0,0,Drawing,0,0,0,Drawing,31.15,-37.7,0,0,0,0,0,152,97,63.82,0,3,15,12,6,19,0,8,0,0,2,27.78,-44.44,5,1,2,2,3,145,94,64.83,0,3,16,11,8,34,0,0,0,0,0
Women's World Cup,United States Women's,Portugal Women's,0,0,0,Drawing,0,0,0,Drawing,45.08,-9.83,7,4,2,1,7,188,131,69.68,3,4,11,6,8,14,0,7,1,0,0,40.39,-19.22,10,1,8,1,7,145,87,60.0,3,8,12,7,8,22,0,8,2,0,0
Women's World Cup,Portugal Women's,United States Women's,0,0,0,Drawing,0,0,0,Drawing,54.92,9.83,3,0,3,0,0,229,164,71.62,1,7,14,6,6,7,0,6,0,0,0,59.61,19.22,3,0,2,1,2,214,145,67.76,0,7,6,4,5,13,0,10,3,0,0
Women's World Cup,Spain Women's,England Women's,1,0,1,Winning,1,0,1,Winning,62.5,25.0,6,2,3,1,6,325,274,84.31,0,8,10,6,1,16,0,8,0,0,0,47.67,-4.67,8,3,1,4,5,194,147,75.77,7,11,9,7,7,20,0,5,1,0,0
Women's World Cup,England Women's,Spain Women's,0,1,-1,Losing,0,1,-1,Losing,37.5,-25.0,3,2,1,0,3,195,143,73.33,1,4,12,7,6,8,0,6,0,0,3,52.33,4.67,5,1,2,2,3,213,150,70.42,2,5,13,7,1,10,0,12,1,0,1
FIFA World Cup,South Korea,Uruguay,0,0,0,Drawing,0,0,0,Drawing,51.49,2.98,2,0,2,0,1,259,202,77.99,2,3,6,5,7,10,0,5,0,0,0,38.49,-23.02,5,0,4,1,1,204,149,73.04,1,5,10,5,6,10,0,6,1,0,0
FIFA World Cup,Uruguay,South Korea,0,0,0,Drawing,0,0,0,Drawing,48.51,-2.98,4,1,3,0,4,244,202,82.79,3,5,5,5,12,19,0,3,0,0,0,61.51,23.02,6,0,4,2,2,326,273,83.74,1,5,10,8,5,12,0,4,1,0,1
Women's World Cup,Sweden Women's,Argentina Women's,0,0,0,Drawing,2,0,2,Winning,59.08,18.16,4,1,1,2,1,231,174,75.32,3,3,6,4,4,8,0,14,1,0,0,56.26,12.53,3,2,1,0,2,247,194,78.54,1,1,14,9,8,5,0,8,0,0,1
Women's World Cup,Argentina Women's,Sweden Women's,0,0,0,Drawing,0,2,-2,Losing,40.92,-18.16,3,0,3,0,1,160,105,65.62,0,13,16,8,3,9,0,5,1,0,1,43.74,-12.53,3,2,1,0,2,192,141,73.44,1,9,16,11,7,2,0,3,0,0,0
FIFA World Cup,Belgium,Canada,1,0,1,Winning,1,0,1,Winning,55.53,11.07,4,2,1,1,3,286,241,84.27,1,10,11,4,1,15,0,3,1,0,0,49.7,-0.6,5,1,2,2,3,248,210,84.68,3,5,7,5,8,15,0,8,2,0,0
FIFA World Cup,Canada,Belgium,0,1,-1,Losing,0,1,-1,Losing,44.47,-11.07,14,2,6,6,12,229,192,83.84,2,2,8,6,7,3,0,10,0,0,1,50.3,0.6,8,1,5,2,5,251,209,83.27,2,8,3,2,5,7,0,5,2,0,0
Women's World Cup,South Africa Women's,China PR Women's,0,1,-1,Losing,0,1,-1,Losing,44.73,-10.54,1,0,1,0,1,225,151,67.11,0,10,13,8,2,20,0,0,0,0,0,51.15,2.3,4,1,2,1,2,222,140,63.06,3,4,17,10,3,22,0,3,1,0,2
Women's World Cup,China PR Women's,South Africa Women's,1,0,1,Winning,1,0,1,Winning,55.27,10.54,10,1,7,2,8,278,204,73.38,5,0,8,6,7,4,0,8,0,0,2,48.85,-2.3,5,2,1,2,4,212,130,61.32,2,5,12,7,5,17,0,4,0,0,0
UEFA Euro,England,Denmark,0,1,-1,Losing,0,1,-1,Losing,61.48,22.95,4,2,1,1,2,300,260,86.67,1,5,5,3,3,3,0,6,0,0,0,54.23,8.45,10,3,5,2,8,263,222,84.41,2,11,5,4,7,7,0,4,1,0,0
UEFA Euro,Denmark,England,1,0,1,Winning,1,0,1,Winning,38.52,-22.95,4,2,1,1,1,188,152,80.85,1,4,14,6,5,14,0,7,0,0,0,45.77,-8.45,1,1,0,0,0,222,177,79.73,2,4,10,7,4,23,0,10,1,0,1
UEFA Women's Euro,Austria Women's,Germany Women's,0,1,-1,Losing,0,2,-2,Losing,43.94,-12.11,5,1,2,2,3,185,108,58.38,4,7,12,6,7,6,0,6,1,0,0,36.95,-26.1,7,0,6,1,6,160,100,62.5,2,6,8,7,3,8,0,8,2,0,2
UEFA Women's Euro,Germany Women's,Austria Women's,1,0,1,Winning,2,0,2,Winning,56.06,12.11,9,3,4,2,7,236,174,73.73,6,5,9,3,15,22,0,7,0,0,2,63.05,26.1,12,2,8,2,5,273,212,77.66,1,10,18,11,5,8,0,4,1,0,2
UEFA Euro,Spain,Switzerland,0,0,0,Drawing,0,1,-1,Losing,70.09,40.18,3,1,1,1,1,396,351,88.64,3,4,5,3,3,4,0,4,0,0,0,67.46,34.92,8,2,3,3,7,340,304,89.41,3,9,4,2,6,10,0,7,1,0,1
UEFA Euro,Switzerland,Spain,0,0,0,Drawing,1,0,1,Winning,29.91,-40.18,4,0,2,2,2,169,130,76.92,4,4,11,6,12,8,0,2,0,0,3,32.54,-34.92,4,2,2,0,4,164,117,71.34,5,6,15,6,7,6,0,8,1,1,0
