Competition,Team,Opponent,HT goals for,HT goals against,HT goal difference,HT state,FT goals for,FT goals against,FT goal difference,FT result,1H Possession %,1H Possession difference %,1H Shots,1H Shots on target,1H Shots off target,1H Blocked shots,1H Shots inside box,1H Passes attempted,1H Passes completed,1H Pass accuracy %,1H Corners,1H Free kicks,1H Tackles,1H Tackles won,1H Interceptions,1H Clearances,1H Saves,1H Fouls,1H Yellow cards,1H Red cards,1H Offsides,2H Possession %,2H Possession difference %,2H Shots,2H Shots on target,2H Shots off target,2H Blocked shots,2H Shots inside box,2H Passes attempted,2H Passes completed,2H Pass accuracy %,2H Corners,2H Free kicks,2H Tackles,2H Tackles won,2H Interceptions,2H Clearances,2H Saves,2H Fouls,2H Yellow cards,2H Red cards,2H Offsides
UEFA Euro,Ukraine,England,0,1,-1,Losing,0,4,-4,Losing,46.94,-6.13,5,1,1,3,3,291,257,88.32,2,4,8,5,10,9,0,7,0,0,0,49.2,-1.59,2,1,0,1,0,309,283,91.59,1,2,9,6,3,7,0,3,0,0,0
UEFA Euro,England,Ukraine,1,0,1,Winning,4,0,4,Winning,53.06,6.13,5,2,1,2,4,329,291,88.45,0,7,5,3,10,9,0,2,0,0,2,50.8,1.59,5,4,1,0,4,319,298,93.42,2,3,7,3,9,5,0,2,0,0,0
Women's World Cup,England Women's,Scotland W,2,0,2,Winning,2,1,1,Winning,67.83,35.65,9,5,4,0,7,312,260,83.33,6,6,6,3,1,3,0,5,0,0,1,50.95,1.89,6,1,3,2,3,269,224,83.27,3,2,9,7,0,7,0,3,0,0,2
Women's World Cup,Scotland W,England Women's,0,2,-2,Losing,1,2,-1,Losing,32.17,-35.65,3,1,1,1,2,148,98,66.22,0,6,10,6,5,21,0,6,1,0,1,49.05,-1.89,6,2,2,2,5,259,220,84.94,2,5,8,4,3,8,0,2,1,0,0
UEFA Euro,Ukraine,Sweden,1,1,0,Drawing,1,1,0,Drawing,49.23,-1.55,5,2,3,0,4,286,247,86.36,0,2,8,3,5,22,0,3,0,0,1,46.55,-6.89,4,1,2,1,2,277,240,86.64,0,4,8,4,8,10,0,2,1,0,2
UEFA Euro,Sweden,Ukraine,1,1,0,Drawing,1,1,0,Drawing,50.77,1.55,6,2,2,2,4,295,243,82.37,3,2,2,0,0,11,0,2,0,0,0,53.45,6.89,6,1,4,1,4,318,279,87.74,3,4,6,4,9,4,0,4,2,0,1
Women's World Cup,Sweden Women's,South Africa Women's,0,0,0,Drawing,2,1,1,Winning,69.47,38.95,6,1,4,1,4,330,259,78.48,8,4,4,4,1,7,0,3,0,0,1,66.21,32.41,10,5,3,2,8,288,222,77.08,5,8,6,4,3,6,0,6,0,0,0
Women's World Cup,South Africa Women's,Sweden Women's,0,0,0,Drawing,1,2,-1,Losing,30.53,-38.95,5,1,4,0,2,145,88,60.69,0,4,11,7,8,17,0,3,0,0,1,33.79,-32.41,5,3,1,1,4,147,81,55.1,1,6,15,11,4,18,0,5,2,0,3
UEFA Women's Euro,England Women's,Germany Women's,0,0,0,Drawing,1,1,0,Drawing,48.0,-4.0,6,2,4,0,5,180,121,67.22,5,9,6,4,7,8,0,6,2,0,2,46.91,-6.17,2,2,0,0,2,190,128,67.37,0,9,10,4,9,16,0,7,0,0,0
UEFA Women's Euro,Germany Women's,England Women's,0,0,0,Drawing,1,1,0,Drawing,52.0,4.0,4,0,1,3,2,195,135,69.23,2,8,13,9,5,11,0,8,1,0,1,53.09,6.17,9,3,2,3,7,215,148,68.84,3,7,9,7,3,11,0,9,2,0,0
Women's World Cup,Denmark Women's,England Women's,0,1,-1,Losing,0,1,-1,Losing,21.78,-56.44,4,1,3,0,4,110,68,61.82,0,3,15,6,10,18,0,8,0,0,0,40.45,-19.09,2,1,1,0,2,178,110,61.8,2,4,8,6,2,11,0,7,0,0,0
